Time,CYP3A4_2_OCT_N,CYP3A4_3_OCT_N,CYP3A4_4_OCT_N,CYP3A4_5_OCT_N,CYP3A4_7_OCT_N,CYP3A4_8_OCT_N,CYP3A4_9_OCT_N,CYP3A4_10_OCT_N,CYP3A4_11_OCT_N,CYP3A4_12_OCT_N,CYP3A4_13_OCT_N,CYP3A4_14_OCT_N,CYP3A4_15_OCT_N,CYP3A4_16_OCT_N,CYP3A4_17_OCT_N,CYP3A4_18_OCT_N,CYP3A4_19_OCT_N,CYP3A4_20_OCT_N,CYP3A4_21_OCT_N,CYP3A4_23_OCT_N,CYP3A4_24_OCT_N,CYP3A4_28_OCT_N,CYP3A4_29_OCT_N,CYP3A4_31_OCT_N,CYP3A4_32_OCT_N,CYP3A4_33_OCT_N,CYP3A4_34_OCT_N
28.5,33.612475222,32.034621472,30.992442168,34.542107571,34.091723463,36.231807845,32.803257728,31.835793722,23.679229512,36.231842745,35.447760549,31.946706013,19.481316838,31.482276733,36.487550661,33.075690482,28.209742682,35.946329354,36.259805367,29.404820487,31.730764893,20.59098618,17.530074835,26.521087497,23.651560087,29.537625126,20.353608394
29.0,33.107980133,31.528885478,30.486670944,34.038990516,33.587880177,35.732376197,32.297950797,31.33000201,23.192868658,35.732411194,34.946432566,31.440942599,19.027603758,30.976442775,35.98880618,32.570616131,27.707115286,35.446170326,35.760447315,28.900248876,31.224952983,20.124869483,17.122236209,26.022813414,23.165341843,29.032893506,19.890914685
29.5,32.61115705,31.031285235,29.989340382,33.543272041,33.091567909,35.239847737,31.800553887,30.832404343,22.716961655,35.239882819,34.452237256,30.943340719,18.585211146,30.478906381,35.496890223,32.073371696,27.213729308,34.952997947,35.267984271,28.404577932,30.727365893,19.669906975,16.725529271,25.53425034,22.689584342,28.537024357,19.439401906
30.0,32.121887779,30.541687447,29.500306546,33.054842291,32.602672815,34.754126759,31.310941207,30.342865437,22.251274282,34.754161918,33.96507251,30.453766199,18.153839081,29.989528681,35.011709118,31.583833976,26.729409726,34.466714212,34.782320755,27.917646469,30.237867278,19.225818133,16.33961248,25.055202438,22.224052969,28.049857981,18.998784863
30.5,31.640055966,30.059961039,29.019428006,32.573593061,32.12108279,34.275118894,30.828988997,29.861252282,21.795577767,34.275154119,33.48483769,29.972087111,17.733196028,29.508173178,34.533170481,31.10188174,26.253984925,33.987222499,34.303362615,27.439296292,29.756323099,18.792329815,15.964155814,24.585477951,21.768518579,27.571237633,18.568786
31.0,31.165547077,29.585977125,28.546565795,32.099417767,31.646687443,33.802731082,30.354575496,29.387434104,21.349648664,33.802766364,33.011433609,29.498173736,17.322998584,29.034705701,34.061183197,30.62739569,25.787286632,33.514427548,33.831017007,26.969372142,29.282601577,18.369176057,15.598840352,24.124889111,21.322757361,27.101009461,18.149135185
31.5,30.698248362,29.119608965,28.081583364,31.632211425,31.179378072,33.336871559,29.88758091,28.921282327,20.913268718,33.336906889,32.54476251,29.031898524,16.922971247,28.568994368,33.595657405,30.160258433,25.329149849,33.04823544,33.365192375,26.507721643,28.816573162,17.956097879,15.243357869,23.673252055,20.886550711,26.639022455,17.7395695
32.0,30.238048831,28.660731932,27.624346538,31.171870622,30.719047636,32.877449838,29.427887377,28.462670538,20.486224743,32.877485207,32.084728042,28.573136062,16.532846183,28.110909548,33.13650448,29.700354451,24.879412786,32.588553579,32.905798437,26.054195243,28.358110488,17.552843088,14.897410443,23.230386745,20.459685109,26.185128386,17.339833045
32.5,29.784839225,28.209223478,27.174723477,30.718293495,30.265590728,32.424376689,28.975378938,28.011474445,20.068308499,32.424412088,31.631235244,28.12176303,16.152362997,27.660323816,32.683637014,29.247570067,24.437916799,32.135290675,32.452746165,25.608646164,27.907088338,17.159166099,14.560710088,22.796116877,20.041951993,25.739181762,16.949676737
33.0,29.338511989,27.764963092,26.732584631,30.271379709,29.818903552,31.977564124,28.529941504,27.567571843,19.659316573,31.977599545,31.18419052,27.677658171,15.781268523,27.21711192,32.236968802,28.801793417,24.004506326,31.688356722,32.005947767,25.170930346,27.463383607,16.774827753,14.232978391,22.37026981,19.633147641,25.301039772,16.568858122
